entry_time,exit_time,direction,entry_px,exit_px,exit_reason,gross_pts,cost_pts,net_pts,net_krw,size_factor,exit_date,entry_close,entry_high,entry_low,entry_volume,exit_close,exit_high,exit_low,exit_volume,regime,year,entry_rsi,entry_macd,entry_macd_signal,entry_macd_hist,entry_atr,entry_supertrend,entry_supertrend_dir,entry_ma20,entry_ma60,entry_bb_upper,entry_bb_lower,entry_bb_middle,is_win,entry_hour,entry_dayofweek,entry_month,win_probability
2023-09-11 09:40:00,2023-09-11 15:45:00,1,336.35,338.05,eod,1.6999999999999886,0.120232,1.5797679999999883,49762.69199999964,1.0,2023-09-11,336.5,336.7,336.35,0.0,338.05,338.05,338.05,0.0,1.0,2023,47.8873239436622,0.2772121455579395,0.321963585142514,-0.0447514395845745,0.471428571428573,333.8482142857143,-1.0,336.385,335.2808333333333,337.0428273650646,335.72717263493536,336.385,1,9,0,9,0.61941004
2023-09-14 09:00:00,2023-09-14 15:15:00,1,337.4,340.3,eod,2.900000000000034,0.120331,2.7796690000000344,87559.57350000108,1.0,2023-09-14,337.15,337.5,337.1,0.0,340.3,340.35,340.0,0.0,1.0,2023,67.7966101694898,0.2900786868233354,0.168354754934542,0.1217239318887933,0.3285714285714383,333.8482142857143,-1.0,336.3,335.84583333333336,337.22508890048874,335.3749110995113,336.3,1,9,3,9,0.68243134
2023-10-05 09:15:00,2023-10-05 10:20:00,1,321.0,321.45,pivot,0.4499999999999886,0.1192735,0.3307264999999886,10417.88474999964,1.0,2023-10-05,321.05,321.3,320.8,0.0,321.5,321.7,321.4,0.0,1.0,2023,55.833333333333286,0.2697808325130495,0.2165464693969805,0.053234363116069,0.7142857142857021,319.05,-1.0,320.8425,320.6925,322.82698588072094,318.858014119279,320.8425,1,9,3,10,0.6128524
2023-10-11 09:35:00,2023-10-11 14:40:00,1,327.25,327.65,eod,0.3999999999999772,0.119647,0.2803529999999772,8831.119499999284,1.0,2023-10-11,327.45,327.55,327.15,0.0,327.65,327.7,327.45,0.0,1.0,2023,91.27516778523513,1.4151651293029772,1.0758691577495787,0.3392959715533985,0.7857142857142776,318.64642857142854,-1.0,324.295,323.2033333333333,329.74765748827264,318.8423425117273,324.295,1,9,2,10,0.76881325
2023-10-17 11:15:00,2023-10-17 15:45:00,1,327.55,328.8,eod,1.25,0.1196905,1.1303095,35604.74925,1.0,2023-10-17,327.5,327.75,327.5,0.0,328.8,328.8,328.8,0.0,1.0,2023,60.31746031746003,0.3617787243306338,0.3846796524519267,-0.0229009281212928,0.4357142857142873,318.64642857142854,-1.0,327.2,325.7300000000001,328.01692620303896,326.383073796961,327.2,1,11,1,10,0.68058807
2023-10-24 13:05:00,2023-10-24 15:45:00,1,315.95,319.55,eod,3.6000000000000227,0.119065,3.4809350000000228,109649.45250000073,1.0,2023-10-24,315.75,315.95,315.5,0.0,319.55,319.55,319.55,0.0,1.0,2023,39.13043478260919,-0.0019215997368746,0.0532455516535848,-0.0551671513904595,0.4071428571428604,312.1839285714285,-1.0,316.325,316.2083333333333,317.4561382251964,315.1938617748036,316.325,1,13,1,10,0.79171324
2023-11-03 09:10:00,2023-11-03 15:45:00,1,319.05,319.6,eod,0.5500000000000114,0.1191595,0.4308405000000114,13571.47575000036,1.0,2023-11-03,319.2,319.4,318.95,0.0,319.6,319.6,319.6,0.0,1.0,2023,71.62162162162178,0.7987619760385201,0.4701785672230311,0.328583408815489,0.7285714285714319,305.8678571428572,-1.0,316.9825,316.40416666666664,320.0512345240706,313.91376547592944,316.9825,1,9,4,11,0.80459327
2023-11-06 09:00:00,2023-11-06 15:45:00,1,324.8,335.3,eod,10.5,0.119803,10.380197,326976.20550000004,1.0,2023-11-06,323.75,324.8,323.45,0.0,335.3,335.3,335.3,0.0,1.0,2023,78.26086956521742,1.1859761676259382,0.5932393089147004,0.5927368587112377,0.7428571428571412,305.8678571428572,-1.0,320.365,319.6225,324.74258645353115,315.9874135464689,320.365,1,9,0,11,0.7749301
2023-11-15 09:05:00,2023-11-15 15:45:00,1,333.6,335.25,eod,1.6499999999999773,0.1200655,1.529934499999977,48192.93674999929,1.0,2023-11-15,333.5,333.75,333.15,0.0,335.25,335.25,335.25,0.0,1.0,2023,75.58685446009349,1.5341719375927596,0.8608716488159361,0.6733002887768235,0.9928571428571412,336.725,1.0,329.5625,328.5075,335.47678911955006,323.64821088044994,329.5625,1,9,2,11,0.8095377
2023-11-20 11:15:00,2023-11-20 15:45:00,1,335.3,335.55,eod,0.25,0.1201255,0.1298745,4091.04675,1.0,2023-11-20,335.25,335.45,335.15,0.0,335.55,335.55,335.55,0.0,1.0,2023,69.38775510204067,0.4558117968260831,0.3998697433392084,0.0559420534868746,0.3535714285714399,336.725,1.0,334.535,333.3875,335.36730814139054,333.7026918586094,334.535,1,11,0,11,0.6418541
