entry_time,exit_time,direction,entry_px,exit_px,exit_reason,gross_pts,cost_pts,net_pts,net_krw,size_factor,exit_date,entry_close,entry_high,entry_low,entry_volume,exit_close,exit_high,exit_low,exit_volume,regime,year,entry_rsi,entry_macd,entry_macd_signal,entry_macd_hist,entry_atr,entry_supertrend,entry_supertrend_dir,entry_ma20,entry_ma60,entry_bb_upper,entry_bb_lower,entry_bb_middle,is_win,entry_hour,entry_dayofweek,entry_month,win_probability,entry_quality_score,atr_stop_loss,atr_take_profit
2020-04-22 13:00:00,2020-04-22 14:50:00,1,245.95,248.85,pivot,2.9000000000000057,0.114844,2.785156000000005,87732.41400000018,1.0,2020-04-22,246.25,246.3,245.75,0.0,249.65,249.65,248.8,0.0,1.0,2020,58.46153846153879,0.2396663351822781,0.2533990191175981,-0.01373268393532,0.4571428571428576,308.29821428571427,1.0,245.975,245.6408333333333,246.75737156267428,245.1926284373257,245.975,1,13,2,4,0.7990931,0.9584335386835388,0.6857142857142864,1.6000000000000014
2020-04-27 10:30:00,2020-04-27 15:45:00,1,251.9,254.55,eod,2.6500000000000057,0.1151935,2.534806500000005,79846.40475000018,1.0,2020-04-27,252.25,252.45,251.8,0.0,254.55,254.55,254.55,0.0,1.0,2020,70.27027027027033,0.5350315740178644,0.4215693156250693,0.113462258392795,0.5464285714285718,308.29821428571427,1.0,250.96750000000003,250.27333333333337,252.52728237317905,249.40771762682104,250.96750000000003,1,10,0,4,0.8777006,0.9535036491286492,0.8196428571428578,1.9125000000000014
2020-05-06 10:45:00,2020-05-06 15:45:00,1,252.05,255.2,eod,3.1499999999999773,0.1152175,3.0347824999999773,95595.64874999928,1.0,2020-05-06,251.9,252.35,251.9,0.0,255.2,255.2,255.2,0.0,1.0,2020,42.49999999999991,0.1758829613793864,0.1098845388992878,0.0659984224800986,0.5571428571428539,308.29821428571427,1.0,251.695,251.43,252.9788675120636,250.41113248793644,251.695,1,10,2,5,0.65736866,0.9894642857142858,0.835714285714281,1.9499999999999889
2020-05-18 09:15:00,2020-05-18 13:05:00,1,253.05,255.85,pivot,2.799999999999983,0.115267,2.6847329999999827,84569.08949999945,1.0,2020-05-18,252.9,253.25,252.9,0.0,255.45,255.85,255.35,0.0,1.0,2020,34.0425531914899,-0.0929191143649461,0.0047256729206125,-0.0976447872855587,0.4642857142857143,308.29821428571427,1.0,253.6175,253.3358333333333,254.1834412273415,253.05155877265847,253.6175,1,9,0,5,0.9021328,0.96578373015873,0.6964285714285714,1.625
2020-06-30 13:40:00,2020-06-30 15:15:00,1,282.6,280.35,eod,-2.25,0.1168885,-2.3668885,-74556.98775,1.0,2020-06-30,282.65,282.85,282.55,0.0,280.35,280.6,280.15,0.0,1.0,2020,64.10256410256343,0.2393480075701859,0.2450574739251725,-0.0057094663549866,0.2642857142857134,275.7767857142857,-1.0,282.2325,281.62083333333334,282.8158433580807,281.6491566419192,282.2325,0,13,1,6,0.62212217,0.793790612165612,0.39642857142857013,0.9249999999999969
2020-07-30 09:20:00,2020-07-30 13:05:00,1,303.5,302.4,pivot,-1.1000000000000227,0.118177,-1.2181770000000227,-38372.57550000071,1.0,2020-07-30,303.75,303.75,303.25,0.0,302.55,302.65,302.35,0.0,1.0,2020,81.33333333333363,0.6399664833703582,0.3670574748597844,0.2729090085105738,0.5071428571428628,304.2607142857143,1.0,301.7325,301.26666666666665,303.6467883796658,299.8182116203341,301.7325,0,9,3,7,0.6121118,0.8185641025641023,0.7607142857142941,1.7750000000000197
2020-08-05 12:25:00,2020-08-05 15:45:00,1,305.15,306.7,eod,1.5500000000000114,0.1183555,1.4316445000000113,45096.80175000036,1.0,2020-08-05,305.4,305.5,305.1,0.0,306.7,306.7,306.7,0.0,1.0,2020,81.8181818181823,0.4080306459236453,0.3525237437629326,0.0555069021607126,0.3321428571428555,296.8303571428572,-1.0,304.40500000000003,303.56,305.68804735959543,303.12195264040463,304.40500000000003,1,12,2,8,0.8445629,0.9730995670995672,0.4982142857142833,1.1624999999999943
2020-11-05 10:40:00,2020-11-05 15:45:00,1,318.35,320.9,eod,2.5499999999999545,0.1191775,2.4308224999999544,76570.90874999856,1.0,2020-11-05,318.7,318.75,318.35,0.0,320.9,320.9,320.9,0.0,1.0,2020,53.96825396825414,0.8786607214099149,1.0184961774687775,-0.1398354560588626,0.442857142857142,320.0571428571428,1.0,318.4775,315.6508333333333,319.44729379332034,317.5077062066797,318.4775,1,10,3,11,0.87424606,0.8911267882444354,0.664285714285713,1.549999999999997
2020-11-11 09:15:00,2020-11-11 15:45:00,1,327.95,331.25,eod,3.300000000000012,0.119776,3.1802240000000115,100177.05600000036,1.0,2020-11-11,328.25,328.4,327.95,0.0,331.25,331.25,331.25,0.0,1.0,2020,80.28169014084418,0.5353230312244932,0.3102950276509985,0.2250280035734947,0.432142857142862,328.9714285714286,1.0,326.37749999999994,325.7316666666667,327.881345947493,324.8736540525069,326.37749999999994,1,9,2,11,0.7261892,0.9395088485860544,0.648214285714293,1.512500000000017
2020-12-24 12:35:00,2020-12-24 15:45:00,1,369.85,374.1,eod,4.25,0.1223185,4.1276815,130021.96725,1.0,2020-12-24,370.0,370.1,369.8,0.0,374.1,374.1,374.1,0.0,1.0,2020,63.636363636363015,0.2967814417199292,0.2795826039566988,0.0171988377632304,0.3071428571428539,373.1392857142858,1.0,369.3775,368.2275,370.0396138440685,368.71538615593136,369.3775,1,12,3,12,0.74545395,0.9699960741872508,0.46071428571428086,1.0749999999999886
